sector,group,name
Activities auxiliary to financial intermediation (67),69,"Financial intermediation, insurance and pension funding (65)"
Activities of membership organisation n.e.c. (91),74,"Other (91,92,93,95)"
Air transport (62),66,Air transport (62)
Aluminium production,38,Aluminium production
Animal products nec,3,"Milk, Animal products nec"
"Biogasification of food waste, incl. land application",73,Waste disposal
"Biogasification of paper, incl. land application",73,Waste disposal
"Biogasification of sewage slugde, incl. land application",73,Waste disposal
Casting of metals,42,Casting of metals
Cattle farming,2,Animal farming
Chemicals nec,30,Chemicals nec
"Collection, purification and distribution of water (41)",54,"Collection, purification and distribution of water (41)"
"Composting of food waste, incl. land application",73,Waste disposal
"Composting of paper and wood, incl. land application",73,Waste disposal
Computer and related activities (72),71,Other business activities (74)
Construction (45),55,Construction (45)
Copper production,40,Copper production
Cultivation of cereal grains nec,1,Cultivation in general
Cultivation of crops nec,1,Cultivation in general
Cultivation of oil seeds,1,Cultivation in general
Cultivation of paddy rice,1,Cultivation in general
Cultivation of plant-based fibers,1,Cultivation in general
"Cultivation of sugar cane, sugar beet",1,Cultivation in general
"Cultivation of vegetables, fruit, nuts",1,Cultivation in general
Cultivation of wheat,1,Cultivation in general
Distribution and trade of electricity,52,Transmission and distribution of electricity
Education (80),72,"Public administration and defence; compulsory social security, Education and Health (75,80,85)"
Extra-territorial organizations and bodies,74,"Other (91,92,93,95)"
"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",8,"Extraction of crude petroleum, gas and other"
"Extraction of natural gas and services related to natural gas extraction, excluding surveying",8,"Extraction of crude petroleum, gas and other"
"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",8,"Extraction of crude petroleum, gas and other"
"Financial intermediation, except insurance and pension funding (65)",69,"Financial intermediation, insurance and pension funding (65)"
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",6,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)"
"Forestry, logging and related service activities (02)",5,"Forestry, logging and related service activities (02)"
Health and social work (85),72,"Public administration and defence; compulsory social security, Education and Health (75,80,85)"
Hotels and restaurants (55),60,Hotels and restaurants (55)
Incineration of waste: Food,73,Waste disposal
Incineration of waste: Metals and Inert materials,73,Waste disposal
Incineration of waste: Oil/Hazardous waste,73,Waste disposal
Incineration of waste: Paper,73,Waste disposal
Incineration of waste: Plastic,73,Waste disposal
Incineration of waste: Textiles,73,Waste disposal
Incineration of waste: Wood,73,Waste disposal
Inland water transport,65,Inland water transport
"Insurance and pension funding, except compulsory social security (66)",69,"Financial intermediation, insurance and pension funding (65)"
Landfill of waste: Food,73,Waste disposal
Landfill of waste: Inert/metal/hazardous,73,Waste disposal
Landfill of waste: Paper,73,Waste disposal
Landfill of waste: Plastic,73,Waste disposal
Landfill of waste: Textiles,73,Waste disposal
Landfill of waste: Wood,73,Waste disposal
"Lead, zinc and tin production",39,"Lead, zinc and tin production"
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,36,Manufacture of basic iron and steel and of ferro-alloys and first products thereof
Manufacture of beverages,19,Processing of food products nec
"Manufacture of bricks, tiles and construction products, in baked clay",34,Manufacture of construction products and cement
"Manufacture of cement, lime and plaster",34,Manufacture of construction products and cement
Manufacture of ceramic goods,33,Manufacture of ceramic goods
Manufacture of coke oven products,25,Manufacture of coke oven products
Manufacture of electrical machinery and apparatus n.e.c. (31),46,Manufacture of electrical machinery and apparatus n.e.c. (31)
"Manufacture of fabricated metal products, except machinery and equipment (28)",43,"Manufacture of fabricated metal products, except machinery and equipment (28)"
Manufacture of fish products,19,Processing of food products nec
Manufacture of furniture; manufacturing n.e.c. (36),49,Manufacture of furniture; manufacturing n.e.c. (36)
Manufacture of gas; distribution of gaseous fuels through mains,53,Manufacture of gas; distribution of gaseous fuels through mains
Manufacture of glass and glass products,32,Manufacture of glass and glass products
Manufacture of machinery and equipment n.e.c. (29),44,Manufacture of machinery and equipment n.e.c. (29)
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",47,"Manufacture of medical, precision and optical instruments, watches and clocks (33)"
"Manufacture of motor vehicles, trailers and semi-trailers (34)",48,"Manufacture of transport equipment (34,35)"
Manufacture of office machinery and computers (30),45,Manufacture of office machinery and computers (30)
Manufacture of other non-metallic mineral products n.e.c.,35,Manufacture of other non-metallic mineral products n.e.c.
Manufacture of other transport equipment (35),48,"Manufacture of transport equipment (34,35)"
"Manufacture of radio, television and communication equipment and apparatus (32)",45,Manufacture of office machinery and computers (30)
Manufacture of rubber and plastic products (25),31,Manufacture of rubber and plastic products (25)
Manufacture of textiles (17),21,"Manufacture of textile and wearing apparel (17,18)"
Manufacture of tobacco products (16),20,Manufacture of tobacco products (16)
Manufacture of wearing apparel; dressing and dyeing of fur (18),21,"Manufacture of textile and wearing apparel (17,18)"
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",22,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)"
"Manure treatment (biogas), storage and land application",4,"Manure treatment, storage and land application"
"Manure treatment (conventional), storage and land application",4,"Manure treatment, storage and land application"
Meat animals nec,3,"Milk, Animal products nec"
Mining of aluminium ores and concentrates,13,Mining of aluminium ores and concentrates
"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",17,Quarrying
Mining of coal and lignite; extraction of peat (10),7,Mining of coal and lignite; extraction of peat (10)
Mining of copper ores and concentrates,11,Mining of copper ores and concentrates
Mining of iron ores,10,Mining of iron ores
"Mining of lead, zinc and tin ores and concentrates",15,"Mining of lead, zinc and tin ores and concentrates"
Mining of nickel ores and concentrates,12,Mining of nickel ores and concentrates
Mining of other non-ferrous metal ores and concentrates,16,Mining of other non-ferrous metal ores and concentrates
Mining of precious metal ores and concentrates,14,Mining of precious metal ores and concentrates
Mining of uranium and thorium ores (12),9,Mining of uranium and thorium ores (12)
N-fertiliser,29,Fertilisers
