mrio,flood_scenario,mrio year,aggreg,country_affected,regions_affected,productive_capital_impact_GVA_share,households_impact_GVA_share,impact unit,productive_capital_impact_regional_distrib,productive_capital_impact_sectoral_distrib_type,duration,productive_capital_impact,households_impact
exiobase3_ixi,germany21,2000,full,DE,['DE'],0.005388888888888889,0.0038888888888888888,share of GVA,[1.0],gdp,14,10652.61102087694,7687.451252179235
eora26,germany21,2000,full,DEU,['DEU'],0.005388888888888889,0.0038888888888888888,share of GVA,[1.0],gdp,14,10499708.226503234,7577109.029435324
euregio,germany21,2000,full,DE,"['DE21', 'DE22', 'DE23', 'DE24', 'DE25', 'DE26', 'DE27', 'DEA1', 'DEA2', 'DEA3', 'DEA4', 'DEA5', 'DEB1', 'DEB2', 'DEB3', 'DED1', 'DED2', 'DED3']",0.005388888888888889,0.0038888888888888888,share of GVA,"[0.00137977016177574, 0.00137977016177574, 0.00137977016177574, 0.00137977016177574, 0.00137977016177574, 0.00137977016177574, 0.00137977016177574, 0.0797303429052959, 0.0797303429052959, 0.0797303429052959, 0.0797303429052959, 0.0797303429052959, 0.194464250988527, 0.194464250988527, 0.194464250988527, 0.00276571379183682, 0.00276571379183682, 0.00276571379183682]",gdp,14,10535.251457436734,7602.758783717231
exiobase3_ixi,japan11,2000,full,JP,['JP'],0.046511627906976744,0.0,share of GVA,[1.0],gdp,14,193767.0689223304,0.0
eora26,japan11,2000,full,JPN,['JPN'],0.046511627906976744,0.0,share of GVA,[1.0],gdp,14,216340776.53573966,0.0
euregio,japan11,2000,full,JPN,['JPN'],0.046511627906976744,0.0,share of GVA,[1.0],gdp,14,234448.8951354419,0.0
exiobase3_ixi,germany21,2010,full,DE,['DE'],0.005388888888888889,0.0038888888888888888,share of GVA,[1.0],gdp,14,13805.970236730547,9963.071304857096
eora26,germany21,2010,full,DEU,['DEU'],0.005388888888888889,0.0038888888888888888,share of GVA,[1.0],gdp,14,18697784.55170114,13493246.583701853
euregio,germany21,2010,full,DE,"['DE21', 'DE22', 'DE23', 'DE24', 'DE25', 'DE26', 'DE27', 'DEA1', 'DEA2', 'DEA3', 'DEA4', 'DEA5', 'DEB1', 'DEB2', 'DEB3', 'DED1', 'DED2', 'DED3']",0.005388888888888889,0.0038888888888888888,share of GVA,"[0.00137977016177574, 0.00137977016177574, 0.00137977016177574, 0.00137977016177574, 0.00137977016177574, 0.00137977016177574, 0.00137977016177574, 0.0797303429052959, 0.0797303429052959, 0.0797303429052959, 0.0797303429052959, 0.0797303429052959, 0.194464250988527, 0.194464250988527, 0.194464250988527, 0.00276571379183682, 0.00276571379183682, 0.00276571379183682]",gdp,14,12962.01646991096,9354.032504059454
exiobase3_ixi,japan11,2010,full,JP,['JP'],0.046511627906976744,0.0,share of GVA,[1.0],gdp,14,199985.54918286152,0.0
eora26,japan11,2010,full,JPN,['JPN'],0.046511627906976744,0.0,share of GVA,[1.0],gdp,14,263889264.26613328,0.0
euregio,japan11,2010,full,JPN,['JPN'],0.046511627906976744,0.0,share of GVA,[1.0],gdp,14,189876.5822392095,0.0
