recovery_scenario,psi,tau_alpha,mrio,order,base_alpha,max_alpha,sectors_scenario,flood_scenario
recfast,0.5,30,eora26_full_2000,alt,1,1.25,default,germany21
reclin2,0.5,30,eora26_full_2000,alt,1,1.25,default,germany21
recS2,0.5,30,eora26_full_2000,alt,1,1.25,default,germany21
reclin6,0.5,30,eora26_full_2000,alt,1,1.25,default,germany21
recS6,0.5,30,eora26_full_2000,alt,1,1.25,default,germany21
reb15,0.5,30,eora26_full_2000,alt,1,1.25,default,germany21
reb90,0.5,30,eora26_full_2000,alt,1,1.25,default,germany21
reb15q,0.5,30,eora26_full_2000,alt,1,1.25,default,germany21
reb90q,0.5,30,eora26_full_2000,alt,1,1.25,default,germany21
reb365,0.5,30,eora26_full_2000,alt,1,1.25,default,germany21
reb545,0.5,30,eora26_full_2000,alt,1,1.25,default,germany21
recfast,0.5,365,eora26_full_2000,alt,1,1.25,default,germany21
reclin2,0.5,365,eora26_full_2000,alt,1,1.25,default,germany21
recS2,0.5,365,eora26_full_2000,alt,1,1.25,default,germany21
reclin6,0.5,365,eora26_full_2000,alt,1,1.25,default,germany21
recS6,0.5,365,eora26_full_2000,alt,1,1.25,default,germany21
reb15,0.5,365,eora26_full_2000,alt,1,1.25,default,germany21
reb90,0.5,365,eora26_full_2000,alt,1,1.25,default,germany21
reb15q,0.5,365,eora26_full_2000,alt,1,1.25,default,germany21
reb90q,0.5,365,eora26_full_2000,alt,1,1.25,default,germany21
reb365,0.5,365,eora26_full_2000,alt,1,1.25,default,germany21
reb545,0.5,365,eora26_full_2000,alt,1,1.25,default,germany21
recfast,0.8,30,eora26_full_2000,alt,1,1.25,default,germany21
reclin2,0.8,30,eora26_full_2000,alt,1,1.25,default,germany21
recS2,0.8,30,eora26_full_2000,alt,1,1.25,default,germany21
reclin6,0.8,30,eora26_full_2000,alt,1,1.25,default,germany21
recS6,0.8,30,eora26_full_2000,alt,1,1.25,default,germany21
reb90,0.8,30,eora26_full_2000,alt,1,1.25,default,germany21
reb15q,0.8,30,eora26_full_2000,alt,1,1.25,default,germany21
reb90q,0.8,30,eora26_full_2000,alt,1,1.25,default,germany21
reb365,0.8,30,eora26_full_2000,alt,1,1.25,default,germany21
reb545,0.8,30,eora26_full_2000,alt,1,1.25,default,germany21
recfast,0.8,365,eora26_full_2000,alt,1,1.25,default,germany21
reclin2,0.8,365,eora26_full_2000,alt,1,1.25,default,germany21
recS2,0.8,365,eora26_full_2000,alt,1,1.25,default,germany21
reclin6,0.8,365,eora26_full_2000,alt,1,1.25,default,germany21
recS6,0.8,365,eora26_full_2000,alt,1,1.25,default,germany21
reb90,0.8,365,eora26_full_2000,alt,1,1.25,default,germany21
reb15q,0.8,365,eora26_full_2000,alt,1,1.25,default,germany21
reb90q,0.8,365,eora26_full_2000,alt,1,1.25,default,germany21
reb365,0.8,365,eora26_full_2000,alt,1,1.25,default,germany21
reb545,0.8,365,eora26_full_2000,alt,1,1.25,default,germany21
recfast,0.999,30,eora26_full_2000,alt,1,1.25,default,germany21
reclin2,0.999,30,eora26_full_2000,alt,1,1.25,default,germany21
recS2,0.999,30,eora26_full_2000,alt,1,1.25,default,germany21
