,mrio,order,psi,base_alpha,max_alpha,tau_alpha,sectors_scenario,recovery_scenario,flood_scenario
0,eora26_full_2000,alt,0.8,1,1.25,90,default,recfast,germany21
1,eora26_full_2000,alt,0.8,1,1.25,90,default,reclin2,germany21
2,eora26_full_2000,alt,0.8,1,1.25,90,default,recS2,germany21
3,eora26_full_2000,alt,0.8,1,1.25,90,default,reclin6,germany21
4,eora26_full_2000,alt,0.8,1,1.25,90,default,recS6,germany21
5,eora26_full_2000,alt,0.8,1,1.25,90,default,reb90,germany21
6,eora26_full_2000,alt,0.8,1,1.25,90,default,reb90q,germany21
7,eora26_full_2000,alt,0.8,1,1.25,90,default,reb180q,germany21
8,eora26_full_2000,alt,0.8,1,1.25,90,default,reb180,germany21
9,eora26_full_2000,alt,0.8,1,1.25,90,default,reb365,germany21
10,eora26_full_2000,alt,0.8,1,1.25,90,default,reb545,germany21
11,eora26_full_2000,alt,0.8,1,1.25,365,default,recfast,germany21
12,eora26_full_2000,alt,0.8,1,1.25,365,default,reclin2,germany21
13,eora26_full_2000,alt,0.8,1,1.25,365,default,recS2,germany21
14,eora26_full_2000,alt,0.8,1,1.25,365,default,reclin6,germany21
15,eora26_full_2000,alt,0.8,1,1.25,365,default,recS6,germany21
16,eora26_full_2000,alt,0.8,1,1.25,365,default,reb90,germany21
17,eora26_full_2000,alt,0.8,1,1.25,365,default,reb90q,germany21
18,eora26_full_2000,alt,0.8,1,1.25,365,default,reb180q,germany21
19,eora26_full_2000,alt,0.8,1,1.25,365,default,reb180,germany21
20,eora26_full_2000,alt,0.8,1,1.25,365,default,reb365,germany21
21,eora26_full_2000,alt,0.8,1,1.25,365,default,reb545,germany21
22,eora26_full_2000,alt,0.85,1,1.25,90,default,recfast,germany21
23,eora26_full_2000,alt,0.85,1,1.25,90,default,reclin2,germany21
24,eora26_full_2000,alt,0.85,1,1.25,90,default,recS2,germany21
25,eora26_full_2000,alt,0.85,1,1.25,90,default,reclin6,germany21
26,eora26_full_2000,alt,0.85,1,1.25,90,default,recS6,germany21
27,eora26_full_2000,alt,0.85,1,1.25,90,default,reb90,germany21
28,eora26_full_2000,alt,0.85,1,1.25,90,default,reb90q,germany21
29,eora26_full_2000,alt,0.85,1,1.25,90,default,reb180q,germany21
30,eora26_full_2000,alt,0.85,1,1.25,90,default,reb180,germany21
31,eora26_full_2000,alt,0.85,1,1.25,90,default,reb365,germany21
32,eora26_full_2000,alt,0.85,1,1.25,90,default,reb545,germany21
33,eora26_full_2000,alt,0.85,1,1.25,365,default,recfast,germany21
